date,firm,order_id,direction,size,sub_price,t_submit,t_terminal,term_type,hold_s,filled,mid_at_sub,price_to_mid_bps,mtm_pnl_at_deletion_usd,pnl_0.001s,pnl_0.01s,pnl_0.05s,pnl_0.1s,pnl_0.25s,pnl_0.5s,pnl_1s,pnl_2s,pnl_5s,pnl_10s,pnl_30s,pnl_60s,pnl_300s,pnl_1800s,pnl_EOD,nearest_event,nearest_event_dt_s,firm_name,firm_type,known_strategies,strategy_class,annotation_conf
2025-10-01,ETMM,52141401,ask,100,930.42,34204.704616,34207.820484,delete,3.115868,False,920.19,111.17,837.5,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,52494765,bid,100,884.35,34207.820469,34257.816035,delete,49.995567,False,922.045,-408.82,3686.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,52494769,ask,100,959.81,34207.820484,34257.81605,delete,49.995566,False,922.045,409.58,3860.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,55787637,bid,100,909.89,34257.816035,34472.518195,delete,214.70216,False,921.21,-122.88,707.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,55787641,ask,100,931.5,34257.81605,34311.634402,delete,53.818352,False,921.21,111.7,1313.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,59183413,ask,100,928.4,34311.634402,34360.02838,delete,48.393978,False,918.37,109.22,918.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,62090689,ask,100,931.49,34360.02838,34446.996441,delete,86.968061,False,919.22,133.48,1316.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,66717525,ask,100,928.65,34446.996441,34524.317539,delete,77.321097,False,918.33,112.38,1277.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,68076677,bid,100,907.33,34472.518195,34735.007495,delete,262.4893,False,916.96,-105.02,716.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,71152765,ask,100,926.3,34524.317539,35048.826116,delete,524.508578,False,915.88,113.77,1087.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,71623689,ask,100,944.12,34530.27607,36059.737518,delete,1529.461448,False,915.36,314.19,3253.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,83129461,bid,100,905.0,34735.007495,34835.409318,delete,100.401824,False,914.49,-103.77,1193.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,88232089,bid,100,907.49,34835.409318,35048.826101,delete,213.416783,False,916.93,-102.95,794.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,98352069,bid,100,878.54,35048.826101,35168.807125,delete,119.981023,False,915.43,-402.98,3748.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,98352073,ask,100,952.77,35048.826116,35168.807139,delete,119.981023,False,915.43,407.9,3675.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,103770061,bid,100,905.85,35168.807125,35405.02774,delete,236.220615,False,916.02,-111.02,883.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,103770065,ask,100,925.44,35168.807139,35405.027752,delete,236.220613,False,916.02,102.84,1076.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,116262193,bid,100,912.11,35405.02774,35548.000457,delete,142.972718,False,914.68,-28.1,114.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,116262197,ask,100,917.25,35405.027752,35548.792086,delete,143.764334,False,914.68,28.1,390.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,123709117,bid,100,910.79,35548.000457,35825.532653,delete,277.532196,False,913.25,-26.94,401.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,123736749,ask,100,916.07,35548.792086,35564.166336,delete,15.37425,False,913.35,29.78,203.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,124383445,ask,100,917.29,35564.166336,35635.029198,delete,70.862863,False,914.04,35.56,384.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,127861221,ask,100,916.03,35635.029198,35690.848323,delete,55.819124,False,913.45,28.24,178.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,130237265,ask,100,917.5,35690.848323,35732.888586,delete,42.040264,False,914.25,35.55,364.5,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,132189469,ask,100,916.28,35732.888586,35737.564579,delete,4.675993,False,913.855,26.54,172.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,132403405,ask,100,917.51,35737.564579,35915.809795,delete,178.245216,False,914.56,32.26,418.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,136227065,bid,100,912.37,35825.532653,35893.32078,delete,67.788127,False,914.8,-26.56,133.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,139187469,bid,100,911.21,35893.32078,35948.408474,delete,55.087694,False,913.7,-27.25,127.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,140063833,ask,100,916.17,35915.809795,35948.84405,delete,33.034254,False,913.33,31.1,369.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,141273837,bid,100,909.8,35948.408474,35948.844036,delete,0.435562,False,912.48,-29.37,268.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,141289429,bid,100,875.6,35948.844036,36068.808242,delete,119.964206,False,912.48,-404.17,3690.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,141289433,ask,100,949.64,35948.84405,36068.808255,delete,119.964205,False,912.48,407.24,3714.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,146408357,ask,100,939.15,36059.737518,38464.784929,delete,2405.04741,False,911.59,302.33,2329.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,146951241,bid,100,909.46,36068.808242,36129.105364,delete,60.297122,False,912.5,-33.32,387.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
2025-10-01,ETMM,146951245,ask,100,915.22,36068.808255,36298.314078,delete,229.505823,False,912.5,29.81,128.0,,,,,,,,,,,,,,,,,,"G1 Execution Services, LLC (also known as G1X)",market-maker,"['Retail order flow internalization (PFOF wholesaling)', 'Two-sided market making in listed NMS equities and OTC equity securities', 'Principal/agency execution of broker-dealer client orders', 'Bid-a",?,?
